objek,ulasan,label
air panas banjar,"['salah', 'satu', 'tempat', 'mandi', 'air', 'panas', 'singaraja', 'juga', 'murah', 'tempat', 'sedikit', 'kotor', 'mungkin', 'tempat', 'lama', 'cara', 'seluruh', 'tempat', 'bagus', 'mandi', 'air', 'panas']",1
air panas banjar,"['wajib', 'kunjung', 'sedang', 'ada', 'sekitar', 'singaraja', 'bagi', 'barat', 'tiket', 'masuk', 'sangat', 'jangkau', 'pilih', 'kolam', 'sangat', 'banyak', 'air', 'panas', 'alami']",1
air panas banjar,"['tempat', 'wisata', 'cocok', 'refreshing', 'santa', 'keluarga', 'teman', 'pacar', 'itu', 'pandang', 'sangat', 'indah']",1
air panas banjar,"['pandang', 'sekitar', 'air', 'panas', 'banjar', 'asri', 'duduk', 'sana', 'sangat', 'ramah', 'air', 'panas', 'banjar', 'diri', 'kolam', 'satu', 'kolam', 'anak', 'anak', 'kolam', 'dewasa', 'kolam', 'pijat', 'air', 'pancur', 'yg', 'tinggi', 'kunjung', 'air', 'panas', 'banjar', 'sama', 'di', 'langsung', 'saya', 'made']",1
air panas banjar,"['datang', 'airpanas', 'banjar', 'belum', 'mandi', 'coba', 'dulu', 'gelas', 'kopi', 'bal', 'pisang', 'goreng', 'fried', 'banana', 'bagai', 'menu', 'ada', 'makan', 'minum', 'lets', 'go']",1
air panas banjar,"['tempat', 'tarik', 'air', 'panas', 'juga', 'mandi', 'sama', 'wisatawan', 'asing', 'bagai', 'negera', 'seru', 'kan', 'saja', 'fasilitas', 'dukung', 'perlu', 'baik', 'ruang', 'ganti', 'bersih', 'perlu', 'perhati']",0
air panas banjar,"['tempat', 'senang', 'terus', 'datang', 'mandi', 'cuma', 'fasilitas', 'loker', 'perlu', 'dperbaiki', 'karna', 'kurang', 'layak', 'pakai']",0
air panas banjar,"['banjar', 'hot', 'spring', 'salah', 'satu', 'mandi', 'air', 'panas', 'yg', 'bal', 'khusus', 'di', 'kabupaten', 'buleleng', 'mandi', 'air', 'panas', 'wajib', 'kunjung', 'kunjung', 'bal', 'utara', 'kolam', 'air', 'panas', 'murni', 'alam', 'buat', 'badan', 'asa', 'nyaman', 'laku', 'jalan', 'jauh', 'traveling', 'bal', 'utara', 'lokasi', 'cukup', 'jangkau', 'pantai', 'lovina', 'yg', 'rupa', 'destinasi', 'wisata', 'yg', 'di', 'bal', 'utara', 'kurang', 'lebih', 'mnit', 'pantai', 'lovina', 'anda', 'sudah', 'nikmat', 'air', 'panas', 'yg', 'langsung', 'alam']",1
air panas banjar,"['salah', 'satu', 'tempat', 'wisata', 'air', 'wajib', 'kunjung', 'cocok', 'relaksasi', 'air', 'belerang', 'percaya', 'mampu', 'sembuh', 'bagai', 'sakit', 'kulit', 'dapat', 'tiga', 'kolam', 'yg', 'milik', 'pancur', 'bagus', 'pijat', 'air', 'lokasi', 'strategis', 'area', 'bukit', 'biaya', 'masuk', 'jangkau']",1
air panas banjar,"['air', 'panas', 'banjar', 'hot', 'spring', 'suka', 'murah', 'sekali', 'kesan', 'air', 'kotor', 'yaaaaa', 'banyak', 'yg', 'jual', 'kaos', 'jalan', 'tuju', 'kesana', 'baik', 'mungkin', 'yg', 'mau', 'basah', 'basah', 'mereka', 'lupa', 'bawa', 'baju', 'ganti', 'beli', 'sana']",0
air panas banjar,"['air', 'terjun', 'banjar', 'rupa', 'destinasi', 'yg', 'patut', 'kunjung', 'suasana', 'yg', 'alami', 'sejuk', 'buat', 'perjlnn', 'wisata', 'nyaman', 'tetep', 'jaga', 'bersih', 'yaa']",1
air panas banjar,"['tempat', 'indah', 'kolam', 'air', 'panas', 'taman', 'tropis', 'fasilitas', 'kamar', 'mandi', 'kamar', 'ganti', 'locker', 'harga', 'masuk', 'sekarang', 'rupiah', 'parkir', 'rupiah']",1
air panas banjar,"['tempat', 'selalu', 'ramai', 'hari', 'libur', 'saran', 'habis', 'waktu', 'keluarga', 'kunjung', 'tempat', 'pagi', 'hari', 'hari', 'lain', 'air', 'panas', 'banjar', 'mudah', 'jangkau', 'kita', 'lihat', 'jalan', 'anda', 'hanya', 'perlu', 'jalan', 'jalur', 'lurus', 'area', 'parkir', 'tidak', 'tanjak', 'sampai', 'di', 'mandi', 'anda', 'ajak', 'nenek', 'kakek', 'anak', 'anda', 'untuk', 'gabung', 'libiran', 'keluarga', 'anda', 'moga', 'sukses']",1
air panas banjar,"['lokasi', 'ada', 'km', 'kota', 'singaraja', 'arah', 'kota', 'tuju', 'barat', 'kira', 'kira', 'km', 'akan', 'temu', 'kawasan', 'lovina', 'silah', 'mampir', 'menikmasti', 'pandang', 'pasir', 'hitam', 'kawasan', 'binaria', 'lovina', 'itu', 'luncur', 'barat', 'kira', 'kira', 'km', 'simpang', 'camat', 'banjar', 'silah', 'belok', 'kiri', 'ikut', 'ketemu', 'pasar', 'banjar', 'lurus', 'selatan', 'beberapa', 'ratus', 'meter', 'telah', 'jembatan', 'kecil', 'belok', 'kiri', 'ada', 'papan', 'informasi', 'air', 'panas', 'banjar', 'ikut', 'jalan', 'tuju', 'lokasi', 'hati', 'jalan', 'kecil', 'sampai', 'tuju', 'silah', 'cari', 'tempat', 'parkir', 'cukup', 'sempit', 'tuju', 'loket', 'tiket', 'masuk', 'selamat', 'rendam', 'nikmat', 'pisang', 'goreng', 'restauran', 'di', 'atas', 'tempat', 'mandai']",0
air panas banjar,"['pertama', 'kali', 'kesini', 'sama', 'keluarga', 'besar', 'tempat', 'bagus', 'kalau', 'badan', 'sedang', 'lelah', 'tinggal', 'cari', 'pancur', 'pegal', 'akan', 'hilang', 'hehehe', 'jangan', 'pakai', 'baju', 'putih', 'kalau', 'rendam', 'sini', 'pulang', 'baju', 'jadi', 'kuning', 'kuning', 'semua']",0
air panas banjar,"['lokasi', 'sangat', 'bagus', 'perlu', 'naik', 'turun', 'tangga', 'terlalu', 'jauh', 'cocok', 'bawa', 'orang', 'sudah', 'lanjut', 'usia', 'kolam', 'mandi', 'bagus', 'tarif', 'ke', 'lokasi', 'tidak', 'terlalu', 'mahal', 'jadi', 'sangat', 'cocok', 'yang', 'budget', 'holiday']",1
air panas banjar,"['kolam', 'bagus', 'cukup', 'ramai', 'air', 'kes', 'keruh', 'bau', 'belerang', 'keras', 'tiket', 'masuk', 'sangat', 'jangkau']",0
air panas banjar,"['air', 'panas', 'turut', 'masuk', 'paling', 'bagus', 'tata', 'banding', 'air', 'panas', 'di', 'bal', 'mungkin', 'sumber', 'air', 'panas', 'cukup', 'banyak', 'juga', 'punya', 'satu', 'kolam', 'besar', 'air', 'panas', 'yang', 'sangat', 'cocok', 'di', 'pakai', 'berenag', 'saja', 'tempat', 'sangat', 'kenal', 'tempat', 'kadang', 'kadang', 'terlalu', 'full', 'baik', 'lokal', 'maupun', 'wisatawan', 'asing', 'kalau', 'kunjung', 'tempat', 'jangan', 'khawatir', 'kena', 'pakain', 'di', 'sana', 'banyak', 'sekali', 'toko', 'baju', 'harga', 'gak', 'terlalu', 'mahal']",1
air panas banjar,"['lumayan', 'buat', 'dar', 'main', 'air', 'ga', 'mandi', 'renang', 'buat', 'kolam', 'terlalu', 'banyak', 'orang', 'banding', 'jumlah', 'kolam', 'ada']",0
air panas banjar,"['kalau', 'libur', 'singaraja', 'mesti', 'kunjung', 'mandi', 'alami', 'air', 'panas', 'banjar', 'tempat', 'bener', 'alami', 'kolam', 'tinggi', 'pancur', 'beda', 'sangat', 'cocok', 'tempat', 'refreshing', 'rendam', 'nikmat', 'pancur', 'air', 'panas', 'nya', 'harga', 'tiket', 'masuk', 'dewasa', 'cuma', 'rp']",1
air panas banjar,"['lokasi', 'bal', 'utara', 'camat', 'banjar', 'buleleng', 'diri', 'kolam', 'yg', 'alir', 'air', 'panas', 'yg', 'kandung', 'belerang', 'tempat', 'yg', 'cocok', 'relaksasi']",1
air panas banjar,"['pulang', 'kampung', 'sempat', 'diri', 'mandi', 'mandi', 'air', 'hangat', 'banjar', 'ini', 'beberapa', 'kolam', 'air', 'panas', 'alami']",1
